,id,이름,로스터리ID,커피 소개,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛,카페인,나라,식품의 유형,제조원 및 소재지,유통기한,제조일자,내용량,보관 방법,원재료 및 함량,제품문의 관련 주소 및 전화번호
104,3018,밝은 블렌드,82,달콤한 과일의 산미와 카라멜의 단맛 고소한 후미가 느껴지는 블렌드입니다.,블렌드,라이트미디엄,,,3,4,4,1,1,"브라질, 에티오피아",커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,200g / 1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,카페소소한사치 010-9340-4364
105,1495,디카프 브라질 NY2/3 mountain water,48,전체적으로 구수하고 달콤하며 밸런스가 좋은 디카페인 커피입니다.,디카페인,미디엄다크,,"['마카다미아', ' 땅콩', ' 누룽지']",4,1,4,2,0,브라질,커피원두,"식물학커피로스터스, 서울특별시 용산구 서빙고로67길 21 2층",제조일로부터 1년,제조일 별도 표기(제품 뒷면),250g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868
106,228,오드아이,5,흑설탕같은 진한 단맛이 특징입니다. 라떼 베리에이션에서 특히 독보적인 존재감을 드러냅니다. 그럼블만의 약배전과 강배전의 조합으로 맛을 완성한 새로운 형태의 블렌딩입니다.,블렌드,다크,,['초콜릿'],5,1,5,4,1,"에티오피아, 온두라스, 에티오피아, 에티오피아",볶은 커피,"그럼블커피, 경기도 하남시 감북동 감초로 45-13",제조일로부터 6개월,상단 별도 표기,상단 별도 표기,직사광선을 피하고 서늘한 곳에 밀폐보관,커피원두 100%,코케 고객센터 070-4647-1868
107,3901,버밀리온 블렌딩,66,"은은한 베리류의 매력적인 산미와 견과류의 단맛, 깔끔한 여운이 특징입니다.",블렌드,미디엄,,,3,2,4,3,1,"콜롬비아, 에티오피아",커피,"올인커피 / 서울특별시 강서구 공항대로 212, A동 501호",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,올인커피 010-7636-6916
108,3903,러스트 블렌딩,66,"실키한 바디감과 단맛을 가진 브라질과 묵직한 바디감과 고소한 단맛, 긴 여운을 가진 베트남 커피가 어우러져 우유와의 캐미가 아주 좋은 원두입니다.",블렌드,미디엄다크,,,4,1,4,4,1,"브라질, 베트남",커피,"올인커피 / 서울특별시 강서구 공항대로 212, A동 501호",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,올인커피 010-7636-6916
109,1017,과테말라 디카페인 마운틴워터 프로세스,25,헤이즐넛 같은 고소함과 초콜릿의 단맛이 느껴져요.,디카페인,미디엄다크,,"['헤이즐넛', ' 초콜릿', ' 토마토', ' 굿 바디']",4,3,4,2,0,과테말라,볶은커피,"서울시 마포구 동교로22길 21,1층 리밀커피",제조일로부터 3개월 이내,주문일로부터 7일 이내,250g / 1kg,-,커피원두 100%(과테말라산),코케 고객센터 070-4647-1868
110,3563,비터스윗,90,카카오와 견과류의 향미 묵직한 바디감을 강조한 블렌드,블렌드,미디엄다크,,,4,2,3,4,1,"과테말라, 인도, 인도",커피,"서울특별시 강남구 학동로 107, 5층",제조일로부터 1년,주문 확인 후 제조,500g/1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,커피루소 02-2056-7619
111,218,33도 블렌드,2,"상큼하게 들어오는 청량감과 부드러운 산미가 매력적이고, 입안에 남는 여운이 달달하게 퍼져 기억에 오래 남는 커피입니다. 산미를 선호하지 않는 분들도 과일같은 달콤함에 매력적으로 즐길 수 있는 커피입니다.",블렌드,라이트미디엄,,"['청포도', ' 꿀', ' 꽃']",1,3,4,1,1,"에티오피아, 에티오피아",원두커피,"55도 커피로스터스, 경기도 성남시 분당구 서현동 175-5번지",제조일로부터24개월,전면 별도 표기,200g / 1kg,"직사광선을 피해 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하십시오.",커피원두100%,코케 고객센터 070-4647-1868
112,1026,뉴커먼,84,견과류의 고소함을 베이스로 깊은 바디감이 잘 어울리는 균형감이 좋은 블렌드입니다. * 이일용 로스터의 한마디 * 산미가 아예 없진 않고 아이스 아메리카노로 마셨을 때 전체적인 밸런스를 받쳐주는 정도의 긍정적인 산미가 있습니다. 뜨거울 때는 느껴지는 부분이 미비합니다. 5년간 스테디 셀러로 판매되고 있는 뉴커먼 블렌드는 저희 커넥츠커피가 자신있게 추천드립니다.,블렌드,미디엄다크,,"['견과류', ' 오렌지', ' 헤비 바디']",4,2,3,1,1,"콜롬비아, 코스타리카, 브라질",원두커피,"커넥츠커피, 서울특별시 마포구 성지길 60, 1층(국제빌딩)",제조일로부터 12개월,주문일로부터 3일 이내,200g / 1kg,"직사광선을 피해 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하십시오.","커피원두100%(브라질 40%, 코스타리카 30%, 콜롬비아 30%)",코케 고객센터 070-4647-1868
113,4446,MAUNA LOA(마우나 로아),31,"마우나 로아는 깊은 단맛과 풍부한 바디감을 극대화한 블렌드입니다.  강렬한 견과류와 초콜릿, 캐러멜, 플로럴 노트로 핫/아이스 아메리카노에서는 물론 라떼와 같은 우유 베이스 음료에서도 크림을 위한 멋진 캔버스가 되어줍니다.",블렌드,미디엄다크,직접무역,,4,2,4,3,1,"에티오피아, 브라질",볶은 커피,서울특별시 강남구 학동로50길 42,제조일로부터 1년,상품 후면 표기,1kg,습기 및 직사광선을 피하고 서늘한 장소에 보관하십시오.,커피원두 100%,마그마커피 070-7599-2210
114,3740,파나마 페리엔 게이샤 워시드,63,"클래식한 게이샤 커피. 향긋한 자스민의 향, 오렌지 산미, 머스캣의 풍미, 여운에선 독특한 녹차의 향을 가진 커피입니다.",싱글오리진,라이트미디엄,,,3,3,4,1,1,"알토 퀴엘,  보케냐",커피,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,오프사이트 0507-1399-2781
115,3840,케냐 뚱구리 AA 워시드,84,"뚱구리 농장에서 수확한 커피체리는 당일에 깨끗한 물로 습식과정을 통해 1차 가공되고 발효작업 세척 후 태양열 건조가 진행됩니다. 이후 드라이밀에서 2차 프로세싱을 거치게 되며, 이를 통해 케냐가 가진 클린한 맛이 보다 배가 됩니다.",싱글오리진,미디엄,,,3,4,3,1,1,키린야가,커피,"경기도 일산동구 성석동 78-2, A동 1층 커넥츠커피 로스팅공장",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,커넥츠커피 010-5758-1108
116,3359,7:01AM 블렌드,59,깨끗한 질감과 풍성한 단맛을 가진 제철의 커피를 조합하여 세심하게 다크로스팅해 다크초콜렛의 달콤 쌉싸름함과 고소한 견과류의 향미를 강조했습니다.  아메리카노는 물론 밀크 베리에이션으로도 좋습니다.,블렌드,다크,,,4,1,4,3,1,"콜롬비아, 인도, 과테말라",커피,부산광역시 중구 중앙대로29번길 6,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,연경재 010-6662-4474
117,3601,콜롬비아 핀카 라 에스메랄다 아나에어로빅 허니,26,"입안 가득히 열대과일 주스를 마시는 듯 한 풍미 -패션후르츠, 리치, 파인애플",싱글오리진,미디엄,,,3,4,4,2,1,퀸디오,커피,서울 관악구 남현2길 18 1층,제조일로부터 1년,주문 확인 후 제조,400g,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,리버벨 010-7220-7215
118,4450,BACS 더스크 블렌드,3,과테말라와 인도를 베이스로한 견과류의 고소함과 초콜레티한 단맛이 특징인 커피입니다.  산미가 거의 없으며 아메리카노 등 블랙커피와 잘 어울리고 우유가 들어간 라떼류에도 잘 어울립니다.  디저트와 잘 어울리는 BACS의 가장 대중적인 블렌드입니다.,블렌드,다크,,,4,1,3,2,1,"과테말라, 인도",커피,서울 서초구 효령로 74길 36 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,BACS 010-3083-5636
119,3722,일상 블렌드 L (라떼),112,일상속에서 부담없이 즐길 수 있는 편안한 커피입니다. 초콜렛티하고 기분 좋은 비터 스윗을 목표로 로스팅 되어집니다. 묵직하고 초콜렛티한 커피와 우유가 잘 어우러져 진하고 달달한 라떼를 즐길 수 있습니다. 아메리카노에서도 초콜렛티한 뉘앙스가 잘 표현되어 여러 디저트들과 잘 어울리는 블렌드입니다.,블렌드,미디엄다크,,,5,1,5,4,1,"브라질, 인도",커피,"대구광역시 수성구 청솔로 57, 1층",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,흐드러진커피 01046819876
120,1343,W 블렌드,29,"깊은 바디감과 후미에 중점을 둔 강배전의 블렌딩 원두입니다. 다크초콜릿과 스모크 향이 만나서, 깊은 바디감을 만들며 카카오 닙스의 쓴맛을 가진 것이 특징입니다.",블렌드,다크,,"['다크 초콜릿', ' 카카오닙스']",5,1,2,4,1,"베트남, 브라질, 인도",커피 원두,서울특별시 마포구 월드컵북로6길 88,제조일로부터 1년,별도표기,200g / 1kg,서늘한 곳에 보관,"커피 원두(브라질 40%, 인도 30%, 베트남 30%)",코케 고객센터 070-4647-1868
121,1710,에티오피아 코케 허니 예가체프 G1,48,"복숭아와 같은 쥬시함과 단맛이 좋고, 마지막까지 깔끔한 느낌이 좋습니다.",싱글오리진,미디엄다크,,"['오렌지', ' 복숭아', ' 밀크초콜릿']",3,4,5,1,1,예가체프,커피원두,"식물학커피로스터스, 서울특별시 용산구 서빙고로67길 21 2층",제조일로부터 1년,제조일 별도 표기(제품 뒷면),250g / 1kg,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868
122,1083,콜롬비아 수프리모 SW 디카프,16,비스킷 같은 고소하고 달콤한 향에 부담스럽지 않은 산미가 부드럽게 퍼집니다.,디카페인,미디엄,,"['비스킷', ' 너트', ' 오렌지']",2,2,3,2,0,콜롬비아,커피 원두,"파주시 꽃아마길41, 디카프워크룸",제조일로부터 1년,제조일 별도 표기 (제품 뒷면),200g / 500g,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,코케 고객센터 070-4647-1868
123,3487,피크 블렌드,111,크림같은 질감과 견과류의 고소함과 다크초콜릿의 달콤 쌉싸름함,블렌드,미디엄다크,,,5,1,5,4,1,"브라질, 콜롬비아, 인도네시아",커피,전라남도 나주시 우정로 10 게토33 나동 A101~108호,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,헬퍼 스튜디오 010-2918-9270
124,4691,브라질 세하도 NY2,40,"고소하고 견과류향미, 에스프레소도 추출해도 무난한 커피입니다. 1차팝이후 2차팝 직전 배출로 브루잉과 머신에 사용하기 좋습니다.  #견과류, #고소함, #흑설탕",싱글오리진,미디엄다크,,,3,1,3,3,1,브라질,커피,서가로스터리 (충남 논산시 연산면 황룡재로 65 2층 서가로스터리 1사무실),제조일로부터 1년,주문 확인 후 제조,200g,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,서가로스터리 01063083067
125,4797,온두라스 카바예로 워시드 아나에어로빅,35,"카라멜의 단맛, 복숭아 주스를 마시는 듯한 느낌, 은은한 꽃향과 바닐라 그리고 딸기의 향미가 나는 커피입니다.",싱글오리진,라이트미디엄,공정무역,,3,3,5,1,1,온두라스,커피원,서울특별시 용산구 이태원로49길 24,제조일로부터 1년,주문 확인 후 제조,250g,직사광선을 피하고 밀봉하여 건조하고 서늘한 곳에 보관,커피원두 100%,보난자커피 코리아 010-4202-3313
126,4220,캄블렌드,72,"[캄블렌드] 묵직하게 잔잔하게 묵직한 바디감과 고소함 길게 이어지는 카카오, 캬라멜의 단맛 풍부한 넛티, 카카오닢스의 고소함 쓰지 않고 깔끔하게 만든 블렌딩 이수팩토리의 대표 블렌딩!",블렌드,미디엄다크,,,4,1,4,3,1,"브라질, 과테말라, 에티오피아, 인도",커피,경기도 수원시 장안구 금당로90번길 38 이수팩토리,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,이수팩토리 01086348481
127,3607,반달 베어 블랜딩,91,밀크 초코렛 맛을 가진 시럽과 소스에 가장 잘 어울리는 고소하고 묵직한 블랜딩 원두 입니다.,블렌드,미디엄다크,,,5,1,5,3,1,콜롬비아,커피,"오소커피로스터스, 서울시 용산구",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,커피볶는곰 0262422113
128,53,센스 앤 센서빌리티,86,"커피 맛에도 이성과 감성이 있다면 어떤 맛일까? 이성과 감성의 조화를 추구하며 사는 것이 인간의 삶이라면, 커피 맛에서 이성과 감성의 조화와 매칭되는 맛이란? 이런 물음에서 출발했습니다. “이성과 감성의 조화 = 산미와 단맛의 조화” 이 단순하면서도 어려운 답을 찾기 위한 여정을 시작했습니다. Bright & Sweet을 기본 컨셉으로 계속 발전시켜나갈 Coffee Montage의 1st Seasonal Blend를 기대해주세요. 에스프레소 머신으로 추출해도 맛있고, 브루잉을 해도 맛있는 커피를 지향합니다!",블렌드,미디엄,,"['꽃향', ' 오렌지', ' 자두', ' 카라멜', ' 산미와 단맛의 조화로움']",3,4,4,2,1,"에티오피아, 케냐",커피,"커피몽타주, 경기도 하남시 미사동로40번길 137",제조일로부터 3개월까지(실온상태),상품 후면에 별도 표기,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하십시오.,"커피원두 100% (에티오피아 50%, 케냐 50%)",코케 고객센터 070-4647-1868
129,1342,F 블렌드,29,"단맛과 풍미에 중점을 둔 중강배전의 블렌딩 원두입니다. 견과류의 고소함과 캐러멜, 사탕, 다크초콜릿의 단맛, 후미의 쌉싸름함까지 복합적인 단맛을 가진 것이 특징입니다.",블렌드,미디엄다크,,"['견과류', ' 밀크 초콜릿']",4,2,4,4,1,"브라질, 콜롬비아",커피 원두,서울특별시 마포구 월드컵북로6길 88,제조일로부터 1년,별도표기,200g / 1kg,서늘한 곳에 보관,"커피 원두(브라질 60%, 콜롬비아 40%)",코케 고객센터 070-4647-1868
130,3345,옐로우렄블렌드,81,"산미가 없고 탄맛 쓴맛 없이 고소한 맛이 특징이며, 누구나 드시기에 부담이 없습니다.",블렌드,미디엄다크,,"['곡물의 고소함', '쌀과자', '강냉이']",4,2,4,2,1,"브라질, 인도",커피,서울 강북구 한천로139가길 15 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,칠복상회로스터스 010-6521-4889
131,1047,엘리 크릭,102,풍부한 단맛과 부드러운 질감을 갖춘 밸런스가 돋보이는 매력적인 커피,블렌드,미디엄다크,직접무역,"['카라멜', ' 다크 체리', ' 밀크 초콜릿', ' 스윗']",3,3,2,4,1,"콜롬비아, 브라질, 과테말라, 에티오피아",커피,"경기도 성남시 중원구 사기막골로 124, skn테크노파크 메가센터 1411호, (주)프레이저커피",제조일로부터 1년,주문시 로스팅,200g / 1kg,실온보관,"커피원두 100%(브라질 35%, 과테말라 25%, 콜롬비아 20%, 에티오피아 20%)",코케 고객센터 070-4647-1868
132,204,브릴리,8,"바닐라, 건과일, 견과류, 크림 브륄레, 누룽지 사탕 등의 향미가 두드러집니다. 매일 먹어도 질리지 않는 마치 밥같은 커피로 누가 마셔도 좋습니다.",싱글오리진,미디엄다크,직접무역,"['바닐라', ' 피스타치오', ' 크림브륄레', ' 밀크초콜릿']",4,1,5,3,1,판타노 미나스제라이스,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868
133,3340,콜롬비아 디카페인,81,"맛있는 디카페인 커피입니다. 미디엄 다크 로스팅 포인트로 고구마, 사탕수수, 초콜릿 뉘앙스로 누구나 부담 없이 편하게 드실 수 있습니다.",디카페인,미디엄다크,,,3,2,4,2,0,콜롬비아,커피,서울 강북구 한천로139가길 15 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,칠복상회로스터스 010-6521-4889
134,3912,조바티 스페셜 블렌드,78,조바티 스페셜 블렌드는 꽃향기와 베리맛이 강점이 원두입니다 특유의 산미가 입안 가득 밝은 풍미를 가득하게 해줘서 마치 와인을 마시는듯 깊은맛을 표현 했습니다. 스페셜한 원두입니다.,블렌드,라이트미디엄,,,3,4,3,1,1,"에티오피아, 르완다",커피,"경기도 고양시 일산동구 일산로 372번길 30-5, 1층",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,조바티커피 070-4203-6900
135,173,CLASSIC BLEND,108,"클래식 블렌드는 황설탕의 단맛, 초콜릿 향미, 카카오 닙스같은 쌉싸름함에 은은한 산미까지 느낄 수 있는 커피입니다. 대중적인 취향에 맞춘 부드러운 단맛 베이스의 커피입니다.",블렌드,다크,직접무역,"['황설탕', ' 카카오닙스', ' 초콜릿']",3,3,4,2,1,"과테말라, 에티오피아",볶은커피,"(주)한국커피, 경기도 오포읍 수레실길 144",제조일자로부터 1년,별도 표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳에 보관하십시오. 개봉 후 빨리 드시기 바랍니다.,원두커피 100%,코케 고객센터 070-4647-1868
136,3048,카넬리안 블렌드,105,녹진하게 느껴지는 초콜릿 뉘앙스 뒤에 고소함이 잘 나타납니다. 입안에 남는 단 향의 마무리가 좋으며 텁텁하지 않은 깔끔함이 좋습니다.,블렌드,미디엄다크,,,3,2,4,4,1,"과테말라, 인도, 에티오피아",커피,경기도 부천시 중동로356번길 6 필리그리커피,제조일로부터 1년,별도 표시,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,필리그리커피 032-672-9127
137,4613,프레쉬 블렌드,110,"Tasting note 베리, 복숭아, 카라멜, 시러피 Hebe's ﻿comment 프레쉬 블렌드는 잘 익은 베리에서 느껴지는 단맛과 함께 산뜻한 핵과류의 산미가 매력적인 블렌드입니다:) 프레쉬 블렌드는 필터커피로 내려 드셔도 좋지만, 진득한 에스프레소를 추출하여 향긋한 라떼로 즐겨보시는 것도 추천드립니다! (원두 량을 중/강배전의 커피보다 조금 더 업도징하여 사용해주시면 좋습니다😄)",블렌드,라이트미디엄,,,3,4,4,1,1,"예가체프, 과테말라",커피,서울 중구 필동로 32 낙원빌딩 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,헤베커피 010-5295-5742
138,3089,모노그램(Mono Gram),6,총 4 국가의 생두를 블랜딩하여 하나로 어우러지는 맛을 표현했습니다. 견과류의 고소함이 특징인 브라질 커피를 베이스로 밀크초콜릿을 연상하게 하는 부드러운 맛이 매력적입니다. 데일리 커피로 추천합니다.,블렌드,미디엄다크,,,3,3,5,2,1,"과테말라, 에티오피아, 브라질,  케냐",커피,서울시 중랑구 신내역로 111 SKV1 센터,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,그린마일커피
139,4010,콜롬비아 엘 오브라헤 게이샤 무산소발효 내추럴,82,밝고 경쾌한 베리류의 향미와 단맛이 기분좋게 남는 커피,싱글오리진,라이트,,,3,4,4,2,1,나리뇨,커피,경기도 부천시 소사구 호현로 489,제조일로부터 1년,주문 확인 후 제조,200g,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,카페소소한사치 010-9340-4364
140,1016,리밀 블렌드,25,견과류의 고소함과 카카오의 달콤 쌉싸름한 맛이 느껴져요.,블렌드,미디엄다크,,"['견과류', ' 카카오', ' 다크초콜릿', ' 브라운슈가', ' 오렌지']",4,2,4,4,1,"브라질, 과테말라",볶은커피,"서울시 마포구 동교로22길 21,1층 리밀커피",제조일로부터 3개월 이내,주문일로부터 7일 이내,200g / 1kg,-,"커피원두 100%(브라질산, 인도산)",코케 고객센터 070-4647-1868
141,4683,아프로디테 블렌딩,18,라 메르 판지의 첫번째 시그니처 블렌드로 베리류의 화사함과 건과일을 먹는 듯한 단맛은 물론 깔끔한 텍스처로 즐거운 여운을 선사합니다.   ※핸드드립 등 브루잉 기구를 사용하는 것을 추천 드리며 에스프레소 및 모카포트로 드셔도 좋습니다.,블렌드,라이트미디엄,,"['달콤함', '베리류','복숭아', '카라멜']",2,3,4,2,1,"에티오피아, 에티오피아, 과테말라",커피,라메르판지 비앤알 / 울산광역시 북구 판지1길 30 (지상2~3층 구유동),제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,라메르판지비앤알 0522928787
142,3801,모리 케피어 로부스타 TR4,17,"밀크초콜릿, 당밀, 황설탕",싱글오리진,미디엄,직접무역,,4,1,4,2,1,잘라이,커피,서울특별시 광진구 면목로 5-1 1층 102호,제조일로부터 1년,주문 확인 후 제조,200g,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,라까프 070-8098-2019
143,3804,웨이브온 컴페티션 블랜드,69,강배전 특유의 쌉싸름한 진한 맛과 묵직한 바디감을 느낄 수 있는 블랜드,블렌드,다크,,,5,1,3,4,1,"브라질, 에티오피아, 과테말라",커피,부산 기장군 장안읍 해맞이로 286,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,웨이브온 커피 051-727-1660 /2번
144,1063,하드워커,79,열심히 하루를 살아가는 우리에게 달콤 쌉싸름한 커피 한잔은 큰 힘이 되죠 바쁜 일상 속 그 사이의 작은휴식 하루를 버틸 수 있는 원동력을 주는 한 잔이 될꺼에요!,블렌드,미디엄다크,,"['다크초콜릿', ' 카카오', ' 비터스윗']",3,2,4,2,1,"브라질, 과테말라, 콜롬비아",,경남 밀양시 가곡11길 4,제조일로부터1년,별도표기,별도표기,건조하고 서늘한 곳에 보관,커피원두100%,코케 고객센터 070-4647-1868
145,4334,콜롬비아 라 레세르바 카투라 치로소,105,"무산소발효 허니 가공 방식으로 열대과일과 진득한 잼 같은 달콤함과 함께 정향, 민트 등이 같이 느껴지는 커피입니다.",싱글오리진,미디엄,,,3,3,4,3,1,안티오키아 볼리바르,커피,경기도 부천시 중동로356번길 6 필리그리커피,제조일로부터 1년,주문 확인 후 제조,200g,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,필리그리커피 032-672-9127
146,3006,커피가이 블렌드,88,"구운 아몬드, 갈색설탕, 쇼콜라, 묵직한 바디",블렌드,미디엄,,,4,3,5,2,1,"과테말라, 과테말라, 브라질",커피,경기도 수원시 팔달구 창룡대로103번길 132,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,커피가이 010-9507-2095
147,3390,더블 캐스트,95,"오렌지의 기분 좋은 산미와 부드러운 단맛, 달콤한 꿀의 향기가 느껴져요.",블렌드,라이트미디엄,,,2,4,3,1,1,"에티오피아, 에티오피아",커피,제주 제주시 한경면 용금로 442 / CRACKERS COFFEE ROASTERS,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,크래커스 커피 로스터스 010-4125-2284
148,3200,에티오피아 예가체프 G2,30,"- 화사한 산미와 화려한 풍미의 에티오피아 100% 커피 - 추천 : 핸드드립, 콜드브루, 싱글오리진에스프레소",싱글오리진,미디엄,,,2,3,2,1,1,에티오피아,커피,"전라남도 장성군 진원면 나노산단2로 52, 205호",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,링크 커피 로스터스 010-5035-1425
149,4878,과테말라 디카페인 (마운틴 워터 프로세스),45,"군고구마의 향미와 오렌지의 상큼함이 함께 느껴지는 커피로 굉장히 마일드한 촉감을 지니고 있고, 밀크초콜릿같이 부드러운 초콜릿을 연상시키는 후미를 가지고 있습니다.",디카페인,미디엄다크,,,4,2,4,2,0,예가체프,커피,경기도 파주시 문산읍 사목로 69번지 3동,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,스트레토 커피팩토리 01086790553
150,281,백야 블렌드,63,"견과류의 고소한 맛과 은은한 산미, 부드러운 바디감을 가진 커피입니다.",블렌드,미디엄다크,,"['캐슈넛', ' 견과류', ' 얼그레이', ' 감귤류', ' 달콤한', ' 부드러운 바디감']",3,4,4,2,1,"브라질, 에티오피아",원두,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문일로부터 3일 이내,200g / 1kg,햇빛이 들지 않는 상온에 밀폐 보관,"원두 100%(에티오피아, 콜롬비아, 브라질)",오프사이트 0507-1399-2781
151,83,싸우스폴 블렌드,49,다크초콜릿과 카라멜향이 느껴지는 은은한 단맛과 클린함이 느껴집니다.,블렌드,미디엄다크,,"['다크 초콜릿', ' 카라멜', ' 은은하며 달다', ' 클린']",4,1,4,1,1,"브라질, 인도",커피,"싸인포스트커피, 서울시 동작구 솔밭로 97-6",제조일로부터 6개월,제조일 별도 표기,200g / 1kg,해당없음,볶은 커피 100%,코케 고객센터 070-4647-1868
152,3603,과테말라 산타펠리사 블루제이드,85,"부드러운 바닐라빈의 향과 함께 깊고 진하게 숙성한듯한 오크향이 함께 입안 가득 퍼지며, 바나나의 산미와 달콤함이 같이 느껴지는 고혹스러운 커피입니다. 밸런스 자체도 워낙 뛰어나며 과테말라 커피이지만, 에티오피아 특유의 깔끔함과 향긋함을 느낄 수 있는 커피 산미가 있는 커피보다는, 단맛의 밸런스가 좋은 커피로, 너무 쓰지 않고 산미가 튀지도 않아 매장에서 핸들링이 쉬운 커피입니다. 호불호 없는 커피로서 어느 매장이든 쉽게 세팅하여 고객에게 만족을 드릴 수 있는 커피",싱글오리진,미디엄,,,3,2,4,3,1,아카테낭고,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,500g / 1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,커스프 커피 010-3267-0430
